project_id,category,sub_category,transcription_text,document_url,expected_id
15884,Contracts,Apprenticeship Agreement,"Apprenticeship 
 
James Conoly 
 
Mary 12 years' 
 
Septbr. 4. 1865 
",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00033,0
15884,Contracts,Apprenticeship Agreement,"Indentures of Apprenticeship. 
State of North Carolina } 
Robeson Co } 
 
This Indenture made the 4 day of Sep 1865 between O.B. Todd Lieut and Act Super Bureau Refugees Freedman, &c. for Robeson County of the one part and James Conoly of the other part Witnesseth That the said [[strikethrough]] James Conoly [[/strikethrough]] [[insertion]] O.B. Todd Lieut and Asst Supt [[/insertion]] Bureau Refug Freedman &c doth put place and bind unto the said James Conoly one orphant named Mary age 12 year after the the manner of an apprentice and servent, untill the said apprentice shall attain the age of twenty one years, during all which time the said apprentice his master faithfully shall serve, and his lawfull commands every where obey. And the said James Conoly doth covenant and promise and agree, that he will teach and instruct the said apprentice, or cause him to be instructed, to read and wright and that he will constantly find and provide for said apprentice, during the term aforesaid, sufficient diet, washing, lodging and apparal, fitting for an apprentice; and also all other things necessary both in sickness and helth. 
 
In witness whereof, the parties to these presents have set there hand and seal the day and year above written 
 
James Conoly 
O.B. Todd Lieut and Asst Supt",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00034,0
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
 
Sept 14th 1865 
 
Neil & Ellen 
to 
James McCallum",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00035,1
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
State of North Carolina Robeson County 
 
This Indenture made the fourteenth day of Septr A.D. 1865 between James Sinclair Agent of Bureau of Refugees, Freedmen & Abandoned lands and Therefore legal guardian of Colored orphan children of the one part, and James McCallum Planter of the above County and State, of the other part. Witnesseth that the said James Sinclair agent doth put, place and bind unto the said James McCallum the orphans named Neill & Ellen aged   who were formerly the property of the mother in law of said James McCallum, but were raised by him in his own family, to live after the manner of Apprentices and Servants until said Apprentices shall attain the age of twenty one years; during all which time, the said Apprentices their Masters faithfully shall serve, and his lawful Commands everywhere obey. And the said James McCallum doth covenant and promise and agree that he will teach and instruct the said Apprentices or cause them to be taught and instructed to read & write; and that he will constantly find and provide for said Apprentices during the time aforesaid, sufficient diets, washing lodging and apparel, fitting for an Apprentice and also all other things necessary both in sickness and health. 
 
In witness whereof, the parties to these present have set their hands and seals, the day and year above written 
 
James Sinclair {seal} 
Agt of Bureau 
James McCallum {seal} 
Master",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00036,1
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
 
Sept 14th 1865 
 
orphan Jane, 15 years 
Archibald McMillan 
 ",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00037,2
15884,Contracts,Apprenticeship Agreement,"- Indenture of Apprenticeship - 
 
State of North Carolina 
Robeson County 
 
This Indenture made the fourteenth day of September A.D. 1865 between James Sinclair Agent of the Bureau of Refugees, Freedmen, and Abandoned (Lands and therefore legal guardian of colored orphans) of the one part and Archibald McMillan of the above mentioned county and state on the other part 
 
Witnesseth: that the said James Sinclair, Agt., doth put, place, and bind unto the said Archibald McMillan the orphan child Jane, aged 15 years, the former property of Mrs. Effie McNeill to live after the manner of an apprentice and servant, until the said Apprentice shall attain the age of twenty one years; during all which time the said Apprentice her master faithfully shall serve and his lawful commands every where obey. And the said Archibald McMillan doth covenant, and promise and agree, that he will teach and instruct the said Apprentice or cause her to be taught & instructed, to read and write; and that he will constantly find and provide for said Apprentice during the term aforesaid, sufficient diet, washing, lodging, & apparel, fitting for an Apprentice, and also all other things necessary both in ",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00038,2
15884,Contracts,Apprenticeship Agreement,"sickness and in health. 
 
In witness whereof, the parties to these presents have set their hands and seals, the day & year above written 
 
[[signature]] James Sinclair]]  
Agent of Bureau {seal} 
[[signature]] Archibald McMillan [[/signature]] 
Master {seal}",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00039,2
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
 
Sept 14th 1865 
 
orphan Jane 
to  
Archibald McMillan",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00040,2
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
 
State of North Carolina 
Robeson County 
 
This Indenture made the fourteenth day of September A.D. 1865 between James Sinclair Agent of the Bureau of Refugees, Freedmen, and abandoned lands and therefore legal Guardian of colored Orphans of the one part and Archibald McMillan of the above mentioned county & state on the other part  Witnesseth: that the said James Sinclair Agt doth put place and bind unto the said Archibald McMillan the Orphan child Jane aged 15 years the former property of Mrs Effie McNeill to live after the manner of an apprentice and Servant until the said apprentice shall attain the age of twenty one years, during all which time the said apprentice her master faithfully shall serve & his lawful commands every where obey. And the said Archd McMillan doth covenant and promise and agree that he will teach & instruct the said apprentice or cause her to be taught & instructed to read and write; and that he will constantly find and provide for said apprentice during the term aforesaid sufficient diet, washing lodging & apparel fitting for an apprentice and also all other things necessary both in sickness and in health. 
 
In witness whereof the parties to these presents have set their hands and seals the day & year above written. 
 
James Sinclair 
Agent of Bureau {seal} 
Archibald McMillan  
Master {seal}",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00041,2
15884,Contracts,Apprenticeship Agreement,"Indenture of Apprenticeship 
 
Sept 18th 1865 
 
Edie 
to 
William A. Dick.",https://transcription.si.edu/transcribe/15884/NMAAHC-004567419_00042,3
