project_id,category,sub_category,transcription_text,document_url
11406,Contracts,Apprenticeship Agreement,"Copy 
 
Agreement of Apprenticeship 
Bu  
Mrs. Kate V.Chamblin  
of the first part and 
 
1st Lt. Geo. W. Rollins 
V.R.C. U.S. Army Agt 
for Carroll Parish La. of  
the second part 
 
Minor Orphans Freed 
James Samenett 
Betty Taylor 
Mary Taylor    
 
Lake Providence 
Carroll Parish La 
Dated Oct. 1 1866 
Exec'd Nov. 3 1866 
",https://transcription.si.edu/transcribe/11406/NMAAHC-004567395_00439
11406,Contracts,Apprenticeship Agreement,"[H 132 ENCL]  
 
Copy 
 
Agreement of Apprenticeship. 
 
This agreement in two parts made & entered into this 1"" day of October A. D. 1866 by & between Mrs Kate V. Chambliss of the first part and 1st Lieut Geo. W. Rollins Vet Res. Corps U.S.A. Agent for Carroll Parish La. Bur of Ref. Freedn & Aband Lands La and by virtue of authority contained in Circular No 25 dated Hd. Qrs. Bur Ref Freedn & Abd Lands New Orleans Louisiana Octr 31"" 1865 Guardian for Minors & orphans of Freedmen for Carroll Parish La party hereto of the second part. Witnesseth That James Samenett, Betty Taylor and Mary Taylor minor orphans of African decent are hereby bound & apprenticed to service to the said Mrs Kate V. Chambliss party of the first part & undersigned during their years of minority commencing & ending as follows: James Samenett aged 14 years, commencing on the 1"" day of Oct. A. D. 1866 & terminating on the 1"" day of October 1870. Betty Taylor aged 9 years commencing on the 1"" day of Oct. A. D. 1866 & ending on the 1"" day of Oct. A. D. 1872. Mary Taylor aged 7 years commencing on the 1"" day of October A. D. 1866 & terminating on the 1"" day of October A. D. 1874. And it",https://transcription.si.edu/transcribe/11406/NMAAHC-004567395_00440
11406,Contracts,Apprenticeship Agreement,"is agreed on the part of the party of the first part & undersigned Mrs Kate V. Chambliss that for the consideration of the faithfull services to be rendered by the within named & said minor orphans the said minor orphans shall receive comfortable clothing, board medical treatment when sick, a reasonable amount of schooling and permission to attend church each Sabbath and at the end or termination of their term of apprenticeship the said minor orphans shall be allowed to retain all articles of their personal apparel. 
    
The said parties do hereby mutually agree that all laws or parts of laws enacted or that may be enacted by the United States or the State of Louisiana establishing laws for the welfare or government of Freedmens minors or orphans or for the government of the same under laws establishing the Bur of Ref Freed & Ab^d Lands or in any way affecting the provisions of this agreement is & shall be made a part of this agreement and that all laws applying to white minors or orphans shall be extended to the said & within named minor orphans during the conti-",https://transcription.si.edu/transcribe/11406/NMAAHC-004567395_00441
11406,Contracts,Apprenticeship Agreement,"continuance of this agreement & finally that this agreement shall expire & terminate when the aforesaid minor male orphan shall have arrived at the age of eighteen years and the minor female orphans shall have arrived at the age of fifteen years respectively. 
    
In testimony whereof the said parties have hereunto affixed their names to this agreement. Done at Lake Providence Louisiana Parish of Carroll on the third day of November A. D. 1866. 
 
signed Kate V. Chambliss  
signed Geo. W Rollins 
1st Lieut. VRC. U.S. Army 
Agent for Carrol Parish  
La. Bureau of R. F. & A Lands 
Louisiana 
 
Executed in Presence of 
Signed Ben C. Johnson 
Jackson Chambliss 
John A. Ginst [[?]] 
 
[[image - three boxes oriented vertically representing Internal Revenue Stamps that appeared on original document, reading as follows: 2¢ / Int Rev / [[illegible]]; a single illegible initial appears beneath each ""stamp""]] 
 
I certify the above to be a true copy of the original Indenture in possession of Mrs Kate V. Chambliss. 
          
Tho H. Hay  
1st Lieut 42d Infty 
A S. A. Comr",https://transcription.si.edu/transcribe/11406/NMAAHC-004567395_00442
15369,Contracts,Apprenticeship Agreement,"[[preprinted]] 
Bureau of Refugees, Freedman and Abandoned Lands, 
Head-Quarters, Asst. Commissioner, State of North Carolina 
Raleigh, N.C., ^[[March 2""]] 186^[[6]] [[/preprinted]] 
 
Jim Tew (Colored) having made statements that he and his brother Charley & Joe have been bound by one Richd Holmes of Sampson County to one Lewis Tew. - Know all by these that the said Richd Holmes has no authority for binding or apprenticing minors, and that all indentures that may have been made by him are null and void. the aforesaid Jim Tew and his brother Charley and Joe are free to engage in any contract or to work with such as may wish to hire them. 
 
All officers of the Bureau, Capts of Police or others are requested to see that these men are protected in their rights. 
 
By order of Col. Whittlesey, Asst. Commissioner 
 
Lieut. and A. A. A. Genl. ",https://transcription.si.edu/transcribe/15369/NMAAHC-004567415_00230
15369,Contracts,Apprenticeship Agreement,"Jim Tew reports that Dick Holmes, Capt— bound him to Lewis Tew on Wednesday Feby 1866. That he will be 20 yrs. old Apr. 27"" 1866. Also that the same man bound his brothers Charley & Joe aged 18— & 14 yrs respectively. Lewis Tew told him he would clear him Jim Tew if he would pay $75.00 for his freedom. Says  that he & his brother Charley were cutting boxes for Tom Cannedy, and my brother Joe was hired out to one Joe Smith— Jim received $18 per month Charley got $32. a month— Joe received $5— per month—  We all were bound without our knowledge or consent— 
 
Jim further says he has a wife & one child — who are now working for Mr. Ila Tew. ",https://transcription.si.edu/transcribe/15369/NMAAHC-004567415_00231
15369,Contracts,Apprenticeship Agreement,"[[preprinted]] 
Bureau of Refugees, Freedmen and Abandoned Lands, 
Head-Quarters, Asst. Commissioner, State of North Carolina 
Raleigh, N.C., ^[[Jany 24""]] 186^[[6]] [[/preprinted]] 
 
In the case referred by you, if the cause of separation is bad conduct on the part of the mother, the children may be taken by the father, who is bound by law to support them. 
 
If he is unable to support them and can bind them out to reliable men, application should be made to the nearest officer or agent of the Bureau, who has full authority to bind children with the consent of parents or proper guardian. 
 
By Command of Col Whittlesey Asst. Commissioner 
[[signature]] Fred H. Beecher [[/signature]] 
Lt & A.A.A. Genl. 
 
The officer for Bladen Co is stationed at Wilmington N.C. and any communication addressed to him will be duly honored - 
 
[[signature]] F H Beecher [[/signature]] 
Lt & A A A Genl ",https://transcription.si.edu/transcribe/15369/NMAAHC-004567415_00233
15411,Contracts,Apprenticeship Agreement,"Moore County Court House April Term 1868. 
 
On motion: it is ordered by the Court that all indentures for binding children White or colored as apprentices in controvention of the decision of the Supreme Court of N.C. in the case of ""Ambrose v.s. Russell"" be at once cancelled. It is further ordered by the Court, that, upon the application of the next kin of any child as indentured the Clerk issue an Order to the party in whose posession such child may be, to surrender him or her to such applicant an that the Clerk be paid Twenty five Cents for such order by the applicant. 
 
from the minutes 
(signed) A. H. McNeil C.C.C. 
 
""A Copy"" ",https://transcription.si.edu/transcribe/15411/NMAAHC-004567415_00450
15411,Contracts,Apprenticeship Agreement,"List of Indentures cancelled at Moore County Court April 30th 1868 made and executed in conflict with decision of Supreme Court of N.C. in the case of Ambrose v.s. Russell as prescribed Cir. No. 5. Series 1867 Hd. Qrs. Asst. Comr. Bureau R. F. & A. L. State of North Carolina. 
 
[[7 column table]] 
Date of Apprenticeship | Name of Apprentice | To whom Apprenticed | Age | Color | Date of Cancellation | Remarks. 
 
April Term 1862 | Margaret Lancaster | K. B. Kelly | 8 years | White | April 30th 1868. | - 
 
"" "" "" [[dittos for April Term 1862]] | Kennet Lancaster | H. H. Martin | 5 "" [[ditto for years]] | "" [[ditto for White]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
Oct "" [[ditto for Term]] 1866 | Alexander Davis | Isham Wallace | 9 "" [[ditto for years]] | "" [[ditto for White]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Oct Term 1866]] | John Davis | Isham Wallace | 10 "" [[ditto for years]] | "" [[ditto for White]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
Jany "" [[ditto for Term]] 1867 | Rasmus Woodall | W. R. Reynolds | 14 "" [[ditto for years]] | "" [[ditto for White]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
April "" [[dittos for Term]] 1862 | William Lancaster | Lauchlin B. Currie | 7 "" [[ditto for years]] | Colored | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for April Term 1862]] | Noah Cagle | Lindsey Cagle | 18 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
July "" "" [[dittos for Term 1862]] | Robt Lancaster | Walter A. Fry | 3 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
April "" [[dittos for Term]] 1866 | Edward Farley | Wesley McIver | 9 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
July "" "" [[dittos for Term 1866]] | David McCallum | S. W. Sewell | 6 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for July Term 1866]] | Squire Dowd | W. D. Dowd | 12 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for July Term 1866]] | Polly Dowd | W. D. Dowd | 8 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for July Term 1866]] | Francis Currie | Corns. Dunlop | 13 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
Oct "" "" [[dittos for Term 1866]] | Cain McLeod | A. H. McLeod | 12 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Oct Term 1866]] | Fredrick McLeod | A. H. McLeod | 8 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
Jany "" [[ditto for Term]] 1867 | Jane Clegg | W. B. Clegg | 9 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Jany Term 1867]] | Joseph Currie | Duncan B. Currie | 5 "" [[ditto for years]] | ""[[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Jany Term 1867]] | Ellen Patridge | E. B. Patridge | 7 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Jany Term 1867]] | Charles Patridge | E. B. Patridge | 14 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Jany Term 1867]] | Henderson Patridge | E. B. Patridge | 12 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
"" "" "" [[dittos for Jany Term 1867]] | Robt. Patridge | E. B. Patridge | 7 "" [[ditto for years]] | "" [[ditto for Colored]] | "" "" "" [[dittos for April 30th 1868.]] | - 
 
[[/table]] 
 
[[signature]] Richard Dillon [[/signature]] 
Capt. V.R.C. Bvt. Maj. U.S.V. A.S.A. Comr.",https://transcription.si.edu/transcribe/15411/NMAAHC-004567415_00511
15483,Contracts,Apprenticeship Agreement,"Judge Ralph P. Buxston Fayetteville Cumberland County N.C. 
District Solicitor Neal Kay, Fayetteville Cumberland County N.C. 
County Solicitor French Strange Fayetteville Cumberland County N.C. 
Chairman Cumberland County Court David McNeal 
 
Monthly Report of Indentures of Apprenticeship of Colored Chilldren. 
 
Cumberland County Court N.C. | Time | Place | Bladen County Court NC | Time | Place | No of Indentures Made | Cancelled | Remarks 
 
- | March 4th 1867 | Fayetteville | - | February 4th 1867 | Elisabeth | - | - | I took charge of this Office Feby 4th 1867 — since then no case has been brought before me wherein Indentures of Apprenticeship have been made or cancelled 
 
I am with high Respect 
Your Most Obedient Ser 
Manchester W. Weld  
Agent Bu. R. F. & A Lands. 
Cumberland Co N.C",https://transcription.si.edu/transcribe/15483/NMAAHC-004567415_00548
